08-10-2020,00:00,JPY,Bank Holiday,Holiday,,,
08-10-2020,00:00,NZD,ANZ Business Confidence,Low,,,
08-10-2020,01:30,CNY,PPI y/y,Low,-2.5%,-2.5%,-3.0%
08-10-2020,01:30,CNY,CPI y/y,Low,2.6%,2.6%,2.5%
08-10-2020,05:45,CHF,Unemployment Rate,Low,3.4%,3.4%,3.3%
08-10-2020,08:30,EUR,Sentix Investor Confidence,Low,-16.0,-16.0,-18.2
08-10-2020,09:03,CNY,M2 Money Supply y/y,Low,11.1%,11.1%,11.1%
08-10-2020,09:03,CNY,New Loans,Low,1200B,1200B,1810B
08-10-2020,12:15,CAD,Housing Starts,Low,201K,201K,212K
08-10-2020,13:03,GBP,NIESR GDP Estimate,Low,,,-21.2%
08-10-2020,14:00,USD,JOLTS Job Openings,Low,,,5.40M
08-10-2020,23:01,GBP,BRC Retail Sales Monitor y/y,Low,,,10.9%
08-10-2020,23:50,JPY,Bank Lending y/y,Low,6.2%,6.2%,6.2%
08-10-2020,23:50,JPY,Current Account,Low,1.00T,1.00T,0.82T
08-11-2020,01:30,AUD,NAB Business Confidence,Medium,,,1
08-11-2020,03:03,CNY,Foreign Direct Investment ytd/y,Low,,,-1.3%
08-11-2020,05:00,JPY,Economy Watchers Sentiment,Low,40.0,40.0,38.8
08-11-2020,06:00,GBP,Unemployment Rate,Low,4.2%,4.2%,3.9%
08-11-2020,06:00,GBP,Claimant Count Change,Medium,,,-28.1K
08-11-2020,06:00,GBP,Average Earnings Index 3m/y,Low,-1.2%,-1.2%,-0.3%
08-11-2020,09:00,EUR,ZEW Economic Sentiment,Low,55.3,55.3,59.6
08-11-2020,09:00,EUR,German ZEW Economic Sentiment,Low,55.0,55.0,59.3
08-11-2020,10:00,USD,NFIB Small Business Index,Low,101.7,101.7,100.6
08-11-2020,12:30,USD,PPI m/m,Medium,0.3%,0.3%,-0.2%
08-11-2020,12:30,USD,Core PPI m/m,Medium,0.1%,0.1%,-0.3%
08-11-2020,13:30,GBP,CB Leading Index m/m,Low,,,-1.4%
08-11-2020,14:00,USD,Mortgage Delinquencies,Low,,,4.36%
08-11-2020,22:45,NZD,Visitor Arrivals m/m,Low,,,82.3%
08-11-2020,23:50,JPY,M2 Money Stock y/y,Low,8.5%,8.5%,7.2%
08-12-2020,00:30,AUD,Westpac Consumer Sentiment,Low,,,-6.1%
08-12-2020,01:30,AUD,Wage Price Index q/q,Low,0.3%,0.3%,0.5%
08-12-2020,02:00,NZD,Official Cash Rate,High,0.25%,0.25%,0.25%
08-12-2020,02:00,NZD,RBNZ Rate Statement,High,,,
08-12-2020,02:00,NZD,RBNZ Monetary Policy Statement,High,,,
08-12-2020,03:00,NZD,RBNZ Press Conference,High,,,
08-12-2020,06:00,GBP,GDP m/m,Medium,8.1%,8.1%,1.8%
08-12-2020,06:00,GBP,Goods Trade Balance,Low,-4.5B,-4.5B,-2.8B
08-12-2020,06:00,GBP,Index of Services 3m/3m,Low,-20.3%,-20.3%,-18.9%
08-12-2020,06:00,GBP,Industrial Production m/m,Low,9.9%,9.9%,6.0%
08-12-2020,06:00,GBP,Construction Output m/m,Low,15.1%,15.1%,8.2%
08-12-2020,06:00,GBP,Manufacturing Production m/m,Low,10.0%,10.0%,8.4%
08-12-2020,06:00,GBP,Prelim GDP q/q,High,-20.5%,-20.5%,-2.0%
08-12-2020,06:00,GBP,Prelim Business Investment q/q,Low,-30.0%,-30.0%,0.0%
08-12-2020,06:00,JPY,Prelim Machine Tool Orders y/y,Low,,,-32.0%
08-12-2020,09:00,EUR,Industrial Production m/m,Low,10.1%,10.1%,12.4%
08-12-2020,10:42,EUR,German 10-y Bond Auction,Low,,,-0.46|1.8
08-12-2020,12:30,USD,CPI m/m,High,0.3%,0.3%,0.6%
08-12-2020,12:30,USD,Core CPI m/m,High,0.2%,0.2%,0.2%
08-12-2020,14:30,USD,Crude Oil Inventories,Medium,,,-7.4M
08-12-2020,15:00,USD,FOMC Member Kaplan Speaks,Low,,,
08-12-2020,17:01,USD,10-y Bond Auction,Low,,,0.65|2.6
08-12-2020,18:00,USD,Federal Budget Balance,Low,,,-864.1B
08-12-2020,22:45,NZD,FPI m/m,Low,,,0.5%
08-12-2020,23:01,GBP,RICS House Price Balance,Low,-5%,-5%,-15%
08-12-2020,23:50,JPY,PPI y/y,Low,-1.1%,-1.1%,-1.6%
08-13-2020,01:00,AUD,MI Inflation Expectations,Low,,,3.2%
08-13-2020,01:30,AUD,Employment Change,High,30.0K,30.0K,210.8K
08-13-2020,01:30,AUD,Unemployment Rate,High,7.8%,7.8%,7.4%
08-13-2020,06:00,EUR,German WPI m/m,Low,0.4%,0.4%,0.6%
08-13-2020,06:00,EUR,German Final CPI m/m,Low,-0.5%,-0.5%,-0.5%
08-13-2020,12:30,USD,Unemployment Claims,Medium,1200K,1200K,1186K
08-13-2020,12:30,USD,Import Prices m/m,Low,0.6%,0.6%,1.4%
08-13-2020,14:30,USD,Natural Gas Storage,Low,,,33B
08-13-2020,17:01,USD,30-y Bond Auction,Low,,,1.33|2.5
08-13-2020,22:30,NZD,BusinessNZ Manufacturing Index,Low,,,56.3
08-13-2020,23:30,AUD,RBA Gov Lowe Speaks,High,,,
08-14-2020,02:00,CNY,Unemployment Rate,Low,5.7%,5.7%,5.7%
08-14-2020,02:00,CNY,Retail Sales y/y,Low,0.1%,0.1%,-1.8%
08-14-2020,02:00,CNY,Fixed Asset Investment ytd/y,Low,-1.6%,-1.6%,-3.1%
08-14-2020,02:00,CNY,Industrial Production y/y,Low,5.1%,5.1%,4.8%
08-14-2020,04:30,JPY,Tertiary Industry Activity m/m,Low,,,-2.1%
08-14-2020,06:30,CHF,PPI m/m,Low,,,0.5%
08-14-2020,06:45,EUR,French Final CPI m/m,Low,0.4%,0.4%,0.4%
08-14-2020,09:00,EUR,Flash Employment Change q/q,Low,,,-0.2%
08-14-2020,09:00,EUR,Flash GDP q/q,Low,-12.1%,-12.1%,-12.1%
08-14-2020,09:00,EUR,Trade Balance,Low,18.0B,18.0B,8.0B
08-14-2020,12:30,CAD,Manufacturing Sales m/m,Low,,,10.7%
08-14-2020,12:30,USD,Prelim Nonfarm Productivity q/q,Low,,,-2.5%
08-14-2020,12:30,USD,Prelim Unit Labor Costs q/q,Low,,,4.8%
08-14-2020,12:30,USD,Retail Sales m/m,High,,,7.5%
08-14-2020,12:30,USD,Core Retail Sales m/m,High,,,7.3%
08-14-2020,13:15,USD,Capacity Utilization Rate,Low,,,68.6%
08-14-2020,13:15,USD,Industrial Production m/m,Low,,,5.4%
08-14-2020,14:00,USD,Prelim UoM Consumer Sentiment,Medium,,,73.2
08-14-2020,14:00,USD,Prelim UoM Inflation Expectations,Low,,,3.1%
08-14-2020,14:00,USD,Business Inventories m/m,Low,,,-2.3%
